C,Cr,Mn,Si,W,V,Ta,Ti,N,B,TT,Tt(min),YS
0.11,8.86,0.5,0.05,2.07,0.24,0.11,0.0,0.0,0.0,750,120,527
0.12,8.79,0.52,0.22,2.01,0.24,0.11,0.0,0.0,0.0,750,120,538
0.12,8.84,0.51,0.77,2.05,0.24,0.11,0.0,0.0,0.0,750,120,561
0.1,9.3,0.4,0.11,0.93,0.22,0.094,0.0,0.002,0.0,650,120,674
0.1,9.3,0.4,0.11,0.93,0.22,0.094,0.0,0.002,0.0,750,120,538
0.1,9.3,0.41,0.13,0.95,0.23,0.0,0.056,0.002,0.0,650,120,573
0.1,9.3,0.41,0.13,0.95,0.23,0.0,0.056,0.002,0.0,750,120,464
0.1,9.3,0.46,0.12,2.22,0.052,0.0,0.0056,0.043,0.0,780,90,565
0.096,9.04,0.45,0.043,2.41,0.21,0.0,0.026,0.077,0.0069,780,90,510
0.1,8.96,0.41,0.086,1.1,0.21,0.074,0.0,0.0,0.0,760,90,500
0.11,8.81,0.53,0.0,1.07,0.2,0.12,0.0,0.041,0.00023,750,120,537
0.045,8.83,0.45,0.034,1.02,0.28,0.18,0.0,0.017,0.0064,750,120,632
0.049,8.82,0.44,0.038,0.99,0.28,0.17,0.0,0.024,0.0,750,120,544
0.049,8.8,0.44,0.036,0.98,0.28,0.19,0.0,0.037,0.0065,750,120,593
0.048,8.81,0.46,0.035,1.96,0.3,0.2,0.0,0.061,0.00039,750,120,511
0.071,8.87,0.45,0.04,2.08,0.3,0.13,0.0,0.077,0.0,750,120,517
0.1,9.0,0.5,0.25,1.1,0.3,0.14,0.0,0.06,0.0,750,30,652
0.1,8.6,0.5,0.1,1.3,0.2,0.1,0.15,0.003,0.0,750,30,787
0.1,8.6,1.0,0.15,1.3,0.1,0.1,0.15,0.004,0.0,750,30,749
0.08,9.04,0.55,0.09,1.0,0.22,0.06,0.0025,0.0226,0.0005,763,90,557
0.093,9.07,0.56,0.09,1.01,0.22,0.06,0.0025,0.02,0.0005,763,90,492
0.126,9.03,0.56,0.06,1.39,0.24,0.06,0.0025,0.03,0.0,763,90,508
0.12,8.99,0.65,0.06,2.06,0.24,0.06,0.0025,0.02,0.0,763,90,521
0.091,9.02,0.43,0.129,1.06,0.225,0.075,0.0,0.0036,0.0,700,90,665
0.092,8.83,0.435,0.133,1.02,0.214,0.089,0.014,0.002,0.0,700,90,636
0.093,9.04,0.48,0.13,1.03,0.221,0.086,0.048,0.0032,0.0,700,90,542
0.109,8.96,0.477,0.127,1.02,0.222,0.049,0.068,0.0044,0.0,700,90,541
0.091,9.02,0.43,0.129,1.06,0.225,0.075,0.0,0.0036,0.0,760,90,504
0.092,8.83,0.435,0.133,1.02,0.214,0.089,0.014,0.002,0.0,760,90,517
0.093,9.04,0.48,0.13,1.03,0.221,0.086,0.048,0.0032,0.0,760,90,490
0.109,8.96,0.477,0.127,1.02,0.222,0.049,0.068,0.0044,0.0,760,90,492
0.105,8.7,0.0,0.0,1.14,0.2,0.09,0.0,0.05,0.0,820,120,596
0.058,8.7,0.0,0.0,1.07,0.35,0.1,0.0,0.05,0.0,820,120,575
0.11,8.7,0.0,0.0,1.08,0.35,0.09,0.0,0.05,0.0,820,120,588
0.059,8.7,0.0,0.0,0.97,0.29,0.0,0.0,0.05,0.0,820,120,529
0.1,8.9,0.0,0.0,1.1,0.2,0.14,0.0,0.02,0.0,750,120,537
0.22,10.92,0.47,0.19,0.57,0.24,0.0,0.0,0.0,0.0,710,90,621
0.21,11.62,0.47,0.42,0.6,0.26,0.0,0.0,0.0,0.0,710,90,646
0.22,10.92,0.47,0.19,0.57,0.24,0.0,0.0,0.0,0.0,760,90,563
0.21,11.62,0.47,0.42,0.6,0.26,0.0,0.0,0.0,0.0,760,90,595
0.12,8.5,0.51,0.0,1.5,0.25,0.1,0.0,0.0067,0.0,740,90,557
0.11,8.55,0.51,0.0,1.48,0.25,0.1,0.0,0.025,0.0,740,90,563
0.11,8.7,0.44,0.0,1.0,0.19,0.1,0.0,0.0,0.0,760,90,532
0.12,8.73,0.51,0.25,2.09,0.25,0.0,0.0,0.0,0.0,750,60,549
0.1,8.72,0.43,0.23,2.09,0.23,0.0,0.0,0.0,0.0,750,60,544
0.12,5.04,0.49,0.23,2.01,0.24,0.0,0.0,0.011,0.0,700,60,714
0.12,5.04,0.49,0.23,2.01,0.24,0.0,0.0,0.011,0.0,750,60,558
0.11,4.67,0.46,0.2,2.11,0.25,0.05,0.0,0.008,0.0,700,60,805
0.11,4.67,0.46,0.2,2.11,0.25,0.05,0.0,0.008,0.0,750,60,627
0.12,4.65,0.45,0.19,2.14,0.25,0.1,0.0,0.009,0.0,700,60,769
0.12,4.65,0.45,0.19,2.14,0.25,0.1,0.0,0.009,0.0,750,60,597
0.096,4.97,0.4,0.12,3.0,0.23,0.0,0.0,0.009,0.0,700,60,718
0.096,4.97,0.4,0.12,3.0,0.23,0.0,0.0,0.009,0.0,750,60,561
0.11,4.63,0.44,0.22,3.01,0.25,0.05,0.0,0.01,0.0,700,60,816
0.11,4.63,0.44,0.22,3.01,0.25,0.05,0.0,0.01,0.0,750,60,558
0.11,4.61,0.43,0.21,2.87,0.25,0.05,0.0,0.01,0.005,700,60,651
0.11,4.61,0.43,0.21,2.87,0.25,0.05,0.0,0.01,0.005,750,60,585
0.11,4.61,0.42,0.21,2.99,0.24,0.05,0.0,0.011,0.013,700,60,621
0.11,4.61,0.42,0.21,2.99,0.24,0.05,0.0,0.011,0.013,750,60,582
0.12,7.01,0.42,0.19,2.01,0.24,0.05,0.0,0.014,0.0,700,60,762
0.12,7.01,0.42,0.19,2.01,0.24,0.05,0.0,0.014,0.0,750,60,583
0.12,6.98,0.42,0.19,2.97,0.24,0.05,0.0,0.014,0.0,700,60,780
0.12,6.98,0.42,0.19,2.97,0.24,0.05,0.0,0.014,0.0,750,60,597
0.12,7.02,0.42,0.19,1.98,0.24,0.05,0.0,0.013,0.004,700,60,744
0.12,7.02,0.42,0.19,1.98,0.24,0.05,0.0,0.013,0.004,750,60,590
0.12,8.95,0.51,0.23,2.01,0.24,0.0,0.0,0.029,0.0,700,60,792
0.12,8.95,0.51,0.23,2.01,0.24,0.0,0.0,0.029,0.0,750,60,596
0.11,8.9,0.44,0.21,2.01,0.23,0.06,0.0,0.017,0.0,700,60,824
0.11,8.9,0.44,0.21,2.01,0.23,0.06,0.0,0.017,0.0,750,60,646
0.094,8.38,0.4,0.21,2.02,0.23,0.06,0.0,0.014,0.005,700,60,810
0.094,8.38,0.4,0.21,2.02,0.23,0.06,0.0,0.014,0.005,750,60,655
0.1,9.03,0.53,0.042,2.06,0.26,0.051,0.021,0.0,0.0032,760,30,505
0.1,9.27,1.08,0.036,2.11,0.27,0.053,0.022,0.0,0.0033,760,30,511
0.1,9.18,2.09,0.04,2.1,0.27,0.054,0.023,0.0,0.0034,760,30,507
0.1,9.11,0.54,0.038,2.07,0.26,0.0,0.022,0.0,0.003,760,30,481
0.1,9.09,0.54,0.035,2.06,0.26,0.1,0.022,0.0,0.0029,760,30,503
0.1,9.19,0.54,0.043,2.1,0.27,0.051,0.052,0.0,0.0031,760,30,520
0.1,9.08,0.53,0.041,1.03,0.26,0.051,0.022,0.0,0.003,760,30,471
0.1,7.14,0.54,0.035,1.01,0.26,0.055,0.022,0.0,0.003,760,30,482
0.1,8.65,0.5,0.056,1.92,0.25,0.044,0.02,0.0,0.0,760,30,510
0.1,8.67,0.5,0.061,1.92,0.25,0.023,0.021,0.0,0.0034,760,30,491
0.1,8.75,0.5,0.053,1.95,0.24,0.025,0.021,0.0,0.0033,760,30,534
0.1,8.7,0.5,0.055,1.95,0.25,0.026,0.021,0.0,0.0034,760,30,513
0.1,8.81,0.51,0.057,1.96,0.25,0.026,0.02,0.0,0.0038,760,30,518
0.1,8.59,0.5,0.053,1.91,0.24,0.0,0.0,0.0,0.0,760,30,573
0.1,8.98,0.53,0.05,2.01,0.25,0.059,0.018,0.0,0.0029,760,30,507
0.1,8.92,0.52,0.04,2.01,0.24,0.058,0.017,0.0,0.0027,760,30,507
0.1,9.01,0.52,0.03,2.03,0.25,0.06,0.017,0.0,0.0027,760,30,473
